Edge TPU Compiler version 16.0.384591198
Input: yolo11n_saved_model/yolo11n_full_integer_quant.tflite
Output: yolo11n_saved_model/yolo11n_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

TRANSPOSE                      6          More than one subgraph is not supported
TRANSPOSE                      7          Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            5          Mapped to Edge TPU
PAD                            2          More than one subgraph is not supported
SUB                            2          More than one subgraph is not supported
PACK                           2          More than one subgraph is not supported
ADD                            11         More than one subgraph is not supported
ADD                            6          Mapped to Edge TPU
SPLIT                          1          Mapped to Edge TPU
SPLIT                          1          More than one subgraph is not supported
SPLIT                          4          For example, a fully-connected or softmax layer with 2D output
STRIDED_SLICE                  13         More than one subgraph is not supported
STRIDED_SLICE                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
STRIDED_SLICE                  8          Mapped to Edge TPU
MUL                            46         More than one subgraph is not supported
MUL                            34         Mapped to Edge TPU
SOFTMAX                        2          More than one subgraph is not supported
DEPTHWISE_CONV_2D              6          More than one subgraph is not supported
CONV_2D                        35         Mapped to Edge TPU
CONV_2D                        174        More than one subgraph is not supported
LOGISTIC                       43         More than one subgraph is not supported
LOGISTIC                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
LOGISTIC                       34         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          More than one subgraph is not supported
RESHAPE                        3          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESHAPE                        14         More than one subgraph is not supported
FULLY_CONNECTED                4          More than one subgraph is not supported
CONCATENATION                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  7          Mapped to Edge TPU
CONCATENATION                  14         More than one subgraph is not supported
MAX_POOL_2D                    3          Mapped to Edge TPU
QUANTIZE                       2          More than one subgraph is not supported
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
