Edge TPU Compiler version 16.0.384591198
Input: yolov8n_saved_model/yolov8n_full_integer_quant.tflite
Output: yolov8n_saved_model/yolov8n_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

CONV_2D                        1          More than one subgraph is not supported
CONV_2D                        63         Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
QUANTIZE                       1          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
ADD                            6          Mapped to Edge TPU
ADD                            2          More than one subgraph is not supported
LOGISTIC                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
LOGISTIC                       57         Mapped to Edge TPU
PAD                            7          Mapped to Edge TPU
TRANSPOSE                      3          Operation is otherwise supported, but not mapped due to some unspecified limitation
TRANSPOSE                      1          Mapped to Edge TPU
RESHAPE                        3          Operation is otherwise supported, but not mapped due to some unspecified limitation
RESHAPE                        1          Mapped to Edge TPU
RESHAPE                        2          More than one subgraph is not supported
STRIDED_SLICE                  16         Mapped to Edge TPU
STRIDED_SLICE                  2          More than one subgraph is not supported
STRIDED_SLICE                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
SUB                            2          More than one subgraph is not supported
MUL                            57         Mapped to Edge TPU
MUL                            2          More than one subgraph is not supported
CONCATENATION                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  16         Mapped to Edge TPU
SOFTMAX                        1          More than one subgraph is not supported
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
